Generation:	1552	Best fitness:	132.69931972789115	Average fitness:	277.27931972789105	Fitness standard deviation:	48.43824269213368	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1568	Best fitness:	132.69931972789115	Average fitness:	269.53217687074823	Fitness standard deviation:	49.30849268655865	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1584	Best fitness:	132.69931972789115	Average fitness:	274.4507482993197	Fitness standard deviation:	65.90924873936703	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1600	Best fitness:	132.69931972789115	Average fitness:	263.88646258503405	Fitness standard deviation:	55.63258219821202	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1616	Best fitness:	132.69931972789115	Average fitness:	276.2193197278911	Fitness standard deviation:	48.10093095963605	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1632	Best fitness:	132.69931972789115	Average fitness:	272.3907482993198	Fitness standard deviation:	61.746116526648464	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1648	Best fitness:	132.69931972789115	Average fitness:	283.0921768707483	Fitness standard deviation:	57.93077563183599	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1664	Best fitness:	128.87074829931973	Average fitness:	254.74931972789113	Fitness standard deviation:	67.96248597572045	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	A16	E5	A9	N3	A7	A13	N9	
Generation:	1680	Best fitness:	128.87074829931973	Average fitness:	259.7593197278911	Fitness standard deviation:	55.82500931756413	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	A16	E5	A9	N3	A7	A13	N9	
Generation:	1696	Best fitness:	128.87074829931973	Average fitness:	274.39217687074836	Fitness standard deviation:	54.90808711485262	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	A16	E5	A9	N3	A7	A13	N9	
Generation:	1712	Best fitness:	128.87074829931973	Average fitness:	261.0121768707483	Fitness standard deviation:	65.5203221161502	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	A16	E5	A9	N3	A7	A13	N9	
