Generation:	1600	Best fitness:	142.67074829931974	Average fitness:	277.426462585034	Fitness standard deviation:	55.44700612075554	Best genome:	A9	E4	N6	N7	A6	A12	A11	N12	E3	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1616	Best fitness:	142.67074829931974	Average fitness:	295.5307482993197	Fitness standard deviation:	61.424501459855875	Best genome:	A9	E4	N6	N7	A6	A12	A11	N12	E3	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1632	Best fitness:	142.67074829931974	Average fitness:	285.82503401360543	Fitness standard deviation:	53.6590380009153	Best genome:	A9	E4	N6	N7	A6	A12	A11	N12	E3	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1648	Best fitness:	142.67074829931974	Average fitness:	293.4893197278912	Fitness standard deviation:	48.151803556193876	Best genome:	A9	E4	N6	N7	A6	A12	A11	N12	E3	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1664	Best fitness:	142.67074829931974	Average fitness:	290.3293197278912	Fitness standard deviation:	59.0939690800394	Best genome:	A9	E4	N6	N7	A6	A12	A11	N12	E3	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1680	Best fitness:	142.67074829931974	Average fitness:	293.83789115646255	Fitness standard deviation:	63.186314247337336	Best genome:	A9	E4	N6	N7	A6	A12	A11	N12	E3	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1696	Best fitness:	142.67074829931974	Average fitness:	277.4507482993196	Fitness standard deviation:	52.33324545250215	Best genome:	A9	E4	N6	N7	A6	A12	A11	N12	E3	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1712	Best fitness:	142.67074829931974	Average fitness:	296.746462585034	Fitness standard deviation:	60.811555880206086	Best genome:	A9	E4	N6	N7	A6	A12	A11	N12	E3	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1728	Best fitness:	142.67074829931974	Average fitness:	275.1393197278911	Fitness standard deviation:	56.04551313760222	Best genome:	A9	E4	N6	N7	A6	A12	A11	N12	E3	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1744	Best fitness:	142.67074829931974	Average fitness:	277.0136054421769	Fitness standard deviation:	53.361566081721	Best genome:	A9	E4	N6	N7	A6	A12	A11	N12	E3	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1760	Best fitness:	142.67074829931974	Average fitness:	289.29360544217684	Fitness standard deviation:	51.69019770493735	Best genome:	A9	E4	N6	N7	A6	A12	A11	N12	E3	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
